model,omega_relative_l2_mean,kinetic_energy_mape,enstrophy_mape,div_q_sgs_relative_l2_mean,pi_sgs_correlation_mean
No SGS,0.7538163056461794,0.03976081027203217,0.6802513790035638,N/A,N/A
ISO,0.13999432297288758,0.011564274534129228,0.04349584491311411,1.01665999713188,0.5086450040055351
SP-NSGS,0.09811456127600442,0.008269776783357831,0.03127997442682494,0.7267188192240163,0.905285796223533
